id,title,original_title,overview,genres,release_date,vote_average,vote_count,popularity,runtime,budget,revenue,keywords,cast,crew,combined_features
949,Heat,Heat,"Obsessive master thief, Neil McCauley leads a top-notch crew on various insane heists throughout Los Angeles while a mentally unstable detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.",Unknown,1995-12-15,7.7,1886.0,17.924927,170.0,60000000,187436818.0,,,,heat obsessive master thief  neil mccauley leads a top notch crew on various insane heists throughout los angeles while a mentally unstable detective  vincent hanna pursues him without rest  each man recognizes and respects the ability and the dedication of the other even though they are aware their cat and mouse game may end in violence  unknown
710,GoldenEye,GoldenEye,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,Unknown,1995-11-16,6.6,1194.0,14.686036,130.0,58000000,352194034.0,,,,goldeneye james bond must unmask the mysterious head of the janus syndicate and prevent the leader from utilizing the goldeneye weapons system to inflict devastating revenge on britain  unknown
1408,Cutthroat Island,Cutthroat Island,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",Unknown,1995-12-22,5.7,137.0,7.284477,119.0,98000000,10017322.0,,,,cutthroat island morgan adams and her slave  william shaw  are on a quest to recover the three portions of a treasure map  unfortunately  the final portion is held by her murderous uncle  dawg  her crew is skeptical of her leadership abilities  so she must complete her quest before they mutiny against her  this is made yet more difficult by the efforts of the british crown to end her pirate raids  unknown
524,Casino,Casino,The life of the gambling paradise – Las Vegas – and its dark mafia underbelly.,Unknown,1995-11-22,7.8,1343.0,10.137389,178.0,52000000,116112375.0,,,,casino the life of the gambling paradise   las vegas   and its dark mafia underbelly  unknown
4584,Sense and Sensibility,Sense and Sensibility,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",Unknown,1995-12-13,7.2,364.0,10.673167,136.0,16500000,135000000.0,,,,sense and sensibility rich mr  dashwood dies  leaving his second wife and her daughters poor by the rules of inheritance  two daughters are the titular opposites  unknown
5,Four Rooms,Four Rooms,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,Unknown,1995-12-09,6.5,539.0,9.026586,98.0,4000000,4300000.0,,,,four rooms it s ted the bellhop s first night on the job   and the hotel s very unusual guests are about to place him in some outrageous predicaments  it seems that this evening s room service is serving up one unbelievable happening after another  unknown
8012,Get Shorty,Get Shorty,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",Unknown,1995-10-20,6.4,305.0,12.669608,105.0,30250000,115101622.0,,,,get shorty chili palmer is a miami mobster who gets sent by his boss  the psychopathic  bones  barboni  to collect a bad debt from harry zimm  a hollywood producer who specializes in cheesy horror films  when chili meets harry s leading lady  the romantic sparks fly  after pitching his own life story as a movie idea  chili learns that being a mobster and being a hollywood producer really aren t all that different  unknown
451,Leaving Las Vegas,Leaving Las Vegas,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",Unknown,1995-10-27,7.1,365.0,10.332025,112.0,3600000,49800000.0,,,,leaving las vegas ben sanderson  an alcoholic hollywood screenwriter who lost everything because of his drinking  arrives in las vegas to drink himself to death  there  he meets and forms an uneasy friendship and non interference pact with prostitute sera  unknown
902,The City of Lost Children,La Cité des Enfants Perdus,"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.",Unknown,1995-05-16,7.6,308.0,9.822423,108.0,18000000,1738611.0,,,,the city of lost children a scientist in a surrealist society kidnaps children to steal their dreams  hoping that they slow his aging process  unknown
63,Twelve Monkeys,Twelve Monkeys,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.",Unknown,1995-12-29,7.4,2470.0,12.297305,129.0,29500000,168840000.0,,,,twelve monkeys in the year 2035  convict james cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth s population and forced the survivors into underground communities  but when cole is mistakenly sent to 1990 instead of 1996  he s arrested and locked up in a mental hospital  there he meets psychiatrist dr  kathryn railly  and patient jeffrey goines  the son of a famous virus expert  who may hold the key to the mysterious rogue group  the army of the 12 monkeys  thought to be responsible for unleashing the killer disease  unknown
687,Dead Man Walking,Dead Man Walking,A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution. Susan Sarandon won an Oscar for best female actress for her convincing portrayal of Sister Helen Prejean.,Unknown,1995-12-29,7.3,350.0,6.891317,122.0,11000000,39363635.0,,,,dead man walking a justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution  susan sarandon won an oscar for best female actress for her convincing portrayal of sister helen prejean  unknown
577,To Die For,To Die For,"Susan wants to work in television and will therefore do anything it takes, even if it means killing her husband. A very dark comedy from independent director Gus Van Sant with a brilliant Nicole Kidman in the leading role.",Unknown,1995-05-20,6.7,177.0,10.448481,106.0,20000000,21284514.0,,,,to die for susan wants to work in television and will therefore do anything it takes  even if it means killing her husband  a very dark comedy from independent director gus van sant with a brilliant nicole kidman in the leading role  unknown
2054,Mr. Holland's Opus,Mr. Holland's Opus,"In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.",Unknown,1995-12-29,6.9,115.0,7.137117,137.0,0,106269971.0,,,,mr  holland s opus in 1965  passionate musician glenn holland takes a day job as a high school music teacher  convinced it s just a small obstacle on the road to his true calling  writing a historic opus  as the decades roll by with the composition unwritten but generations of students inspired through his teaching  holland must redefine his life s purpose  unknown
4482,French Twist,Gazon maudit,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",Unknown,1995-02-08,6.0,43.0,2.518051,95.0,0,0.0,,,,french twist after learning of her husband s infidelities  a housewife invites an itinerant lesbian to move in with them  none of their lives will ever be the same again  unknown
755,From Dusk Till Dawn,From Dusk Till Dawn,"Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.",Unknown,1996-01-19,6.9,1644.0,15.339153,108.0,19000000,25836616.0,,,,from dusk till dawn seth gecko and his younger brother richard are on the run after a bloody bank robbery in texas  they escape across the border into mexico and will be home free the next morning  when they pay off the local kingpin  they just have to survive  from dusk till dawn  at the rendezvous point  which turns out to be a hell of a strip joint  unknown
880,Antonia's Line,Antonia,"After World War II, Antonia and her daughter, Danielle, go back to their Dutch hometown, where Antonia's late mother has bestowed a small farm upon her. There, Antonia settles down and joins a tightly-knit but unusual community. Those around her include quirky friend Crooked Finger, would-be suitor Bas and, eventually for Antonia, a granddaughter and great-granddaughter who help create a strong family of empowered women.",Unknown,1995-09-12,7.2,26.0,2.030174,102.0,900000,0.0,,,,antonia s line after world war ii  antonia and her daughter  danielle  go back to their dutch hometown  where antonia s late mother has bestowed a small farm upon her  there  antonia settles down and joins a tightly knit but unusual community  those around her include quirky friend crooked finger  would be suitor bas and  eventually for antonia  a granddaughter and great granddaughter who help create a strong family of empowered women  unknown
8447,Angels and Insects,Angels and Insects,"In Victorian England, wealthy patriarch Sir Harald Alabaster invites an impoverished biologist, William Adamson, into his home. There, William tries to continue his work, but is distracted by Alabaster's seductive daughter, Eugenia. William and Eugenia begin a torrid romance, but as the couple become closer, the young scientist begins to realize that dark, disturbing things are happening behind the closed doors of the Alabaster manor.",Unknown,1995-09-10,6.3,17.0,2.15166,118.0,0,0.0,,,,angels and insects in victorian england  wealthy patriarch sir harald alabaster invites an impoverished biologist  william adamson  into his home  there  william tries to continue his work  but is distracted by alabaster s seductive daughter  eugenia  william and eugenia begin a torrid romance  but as the couple become closer  the young scientist begins to realize that dark  disturbing things are happening behind the closed doors of the alabaster manor  unknown
